Element Number	Element Type	Nodes	
1	Tri3	94	56	77	
2	Quad4	78	90	89	79	
3	Quad4	79	89	57	80	
4	Quad4	94	54	67	56	
5	Quad4	94	51	48	54	
6	Quad4	51	50	49	48	
7	Quad4	50	93	52	49	
8	Quad4	50	75	74	93	
9	Quad4	74	73	53	93	
10	Quad4	93	53	55	52	
11	Quad4	48	60	59	54	
12	Quad4	52	62	61	49	
13	Quad4	49	61	60	48	
14	Quad4	77	76	51	94	
15	Quad4	51	76	75	50	
16	Quad4	55	63	62	52	
17	Quad4	53	58	65	55	
18	Quad4	53	73	72	58	
19	Quad4	56	90	78	77	
20	Quad4	59	68	67	54	
21	Quad4	65	66	63	55	
22	Quad4	67	46	90	56	
23	Quad4	72	71	91	58	
24	Quad4	57	86	85	80	
25	Quad4	57	64	87	86	
26	Quad4	57	89	2	64	
27	Quad4	58	91	35	65	
28	Quad4	59	40	39	68	
29	Quad4	60	41	40	59	
30	Quad4	61	42	41	60	
31	Quad4	62	43	42	61	
32	Quad4	63	44	43	62	
33	Quad4	66	45	44	63	
34	Quad4	64	84	88	87	
35	Quad4	64	2	3	84	
36	Quad4	65	35	37	66	
37	Quad4	37	36	45	66	
38	Quad4	68	47	46	67	
39	Quad4	39	38	47	68	
40	Quad4	71	70	92	91	
41	Quad4	70	69	81	92	
42	Quad4	69	27	28	81	
43	Quad4	69	25	12	27	
44	Quad4	70	24	25	69	
45	Quad4	71	23	24	70	
46	Quad4	72	22	23	71	
47	Quad4	73	21	22	72	
48	Quad4	74	20	21	73	
49	Quad4	75	19	20	74	
50	Quad4	76	18	19	75	
51	Quad4	77	17	18	76	
52	Quad4	78	16	17	77	
53	Quad4	79	15	16	78	
54	Quad4	80	14	15	79	
55	Quad4	85	13	14	80	
56	Quad4	81	82	33	92	
57	Quad4	81	28	29	82	
58	Quad4	29	30	83	82	
59	Quad4	83	34	33	82	
60	Quad4	30	26	32	83	
61	Quad4	32	31	34	83	
62	Quad4	3	1	6	84	
63	Quad4	84	6	5	88	
64	Quad4	85	11	7	13	
65	Quad4	86	10	11	85	
66	Quad4	87	9	10	86	
67	Quad4	88	8	9	87	
68	Quad4	88	5	4	8	
69	Quad4	90	46	2	89	
70	Quad4	92	33	35	91	
