Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	-6,e-003	0,	-3,e-003	
2	-6,e-003	0,	-1,e-003	
3	-6,e-003	0,	-2,e-003	
4	-9,e-003	0,	-3,e-003	
5	-8,e-003	0,	-3,e-003	
6	-7,e-003	0,	-3,e-003	
7	-9,e-003	0,	2,e-003	
8	-9,e-003	0,	-2,e-003	
9	-9,e-003	0,	-1,e-003	
10	-9,e-003	0,	-2,1684e-018	
11	-9,e-003	0,	1,e-003	
12	6,e-003	0,	2,e-003	
13	-7,9286e-003	0,	2,e-003	
14	-6,8571e-003	0,	2,e-003	
15	-5,7857e-003	0,	2,e-003	
16	-4,7143e-003	0,	2,e-003	
17	-3,6429e-003	0,	2,e-003	
18	-2,5714e-003	0,	2,e-003	
19	-1,5e-003	0,	2,e-003	
20	-4,2857e-004	0,	2,e-003	
21	6,4286e-004	0,	2,e-003	
22	1,7143e-003	0,	2,e-003	
23	2,7857e-003	0,	2,e-003	
24	3,8571e-003	0,	2,e-003	
25	4,9286e-003	0,	2,e-003	
26	6,e-003	0,	-3,e-003	
27	6,e-003	0,	1,e-003	
28	6,e-003	0,	2,1684e-018	
29	6,e-003	0,	-1,e-003	
30	6,e-003	0,	-2,e-003	
31	3,5e-003	0,	-3,e-003	
32	4,75e-003	0,	-3,e-003	
33	3,5e-003	0,	-1,e-003	
34	3,5e-003	0,	-2,e-003	
35	3,e-003	0,	-1,e-003	
36	3,e-003	0,	-3,e-003	
37	3,e-003	0,	-2,e-003	
38	-5,5e-003	0,	-3,e-003	
39	-4,4375e-003	0,	-3,e-003	
40	-3,375e-003	0,	-3,e-003	
41	-2,3125e-003	0,	-3,e-003	
42	-1,25e-003	0,	-3,e-003	
43	-1,875e-004	0,	-3,e-003	
44	8,75e-004	0,	-3,e-003	
45	1,9375e-003	0,	-3,e-003	
46	-5,5e-003	0,	-1,e-003	
47	-5,5e-003	0,	-2,e-003	
48	-2,3404e-003	0,	-1,0401e-003	
49	-1,3119e-003	0,	-9,9874e-004	
50	-1,3893e-003	0,	3,7776e-006	
51	-2,4501e-003	0,	-2,8976e-005	
52	-2,5596e-004	0,	-9,8621e-004	
53	7,4561e-004	0,	1,3961e-005	
54	-3,3718e-003	0,	-1,0845e-003	
55	8,1512e-004	0,	-9,9255e-004	
56	-4,3435e-003	0,	-1,407e-004	
57	-6,9851e-003	0,	2,2558e-005	
58	1,8002e-003	0,	2,1103e-006	
59	-3,3751e-003	0,	-2,0277e-003	
60	-2,318e-003	0,	-2,024e-003	
61	-1,2661e-003	0,	-2,0029e-003	
62	-2,0773e-004	0,	-1,9865e-003	
63	8,5803e-004	0,	-1,9926e-003	
64	-6,9941e-003	0,	-9,8654e-004	
65	1,8836e-003	0,	-9,9655e-004	
66	1,9301e-003	0,	-1,9955e-003	
67	-4,4199e-003	0,	-1,0521e-003	
68	-4,4347e-003	0,	-1,966e-003	
69	4,927e-003	0,	9,9778e-004	
70	3,8488e-003	0,	1,0152e-003	
71	2,7895e-003	0,	1,0218e-003	
72	1,7358e-003	0,	1,0135e-003	
73	6,805e-004	0,	1,0069e-003	
74	-3,9376e-004	0,	1,0051e-003	
75	-1,4635e-003	0,	9,984e-004	
76	-2,5619e-003	0,	9,7268e-004	
77	-3,7165e-003	0,	8,8821e-004	
78	-4,846e-003	0,	1,0054e-003	
79	-5,8968e-003	0,	1,0353e-003	
80	-6,9341e-003	0,	1,0278e-003	
81	4,8746e-003	0,	-2,3492e-005	
82	4,7878e-003	0,	-1,0147e-003	
83	4,75e-003	0,	-2,0037e-003	
84	-6,9957e-003	0,	-1,9942e-003	
85	-7,9652e-003	0,	1,015e-003	
86	-7,9842e-003	0,	1,8334e-005	
87	-7,9873e-003	0,	-9,8263e-004	
88	-7,9954e-003	0,	-1,99e-003	
89	-6,0545e-003	0,	5,5222e-005	
90	-5,1561e-003	0,	-4,0415e-006	
91	2,7767e-003	0,	3,7465e-005	
92	3,8515e-003	0,	2,4893e-005	
93	-3,2551e-004	0,	2,8785e-006	
94	-3,4101e-003	0,	-1,9045e-004	
